DIABETES,CASES_PER_DAY,DEATHS_PER_DAY
0,0,0
0,0,0
5,0,0
2,0,0
3,0,1
1,0,0
4,0,0
3,0,0
6,0,0
2,0,0
0,0,0
4,0,1
4,0,1
6,0,0
6,0,0
7,0,0
3,0,0
5,0,0
7,0,0
10,0,0
4,0,0
2,0,0
6,0,0
6,0,0
3,0,0
4,0,0
4,0,0
3,0,0
2,0,0
6,0,0
4,0,0
0,0,1
1,0,0
2,0,0
5,0,0
1,0,0
3,0,0
3,0,0
3,0,0
4,0,0
6,0,1
5,0,1
3,0,1
5,0,0
1,0,0
1,0,0
2,0,0
5,0,0
4,0,1
1,0,0
2,0,0
1,0,0
0,0,0
1,0,0
3,0,0
4,0,0
1,0,0
5,3,1
1,1,0
2,0,0
0,0,1
7,1,2
9,0,1
3,1,0
5,0,0
3,0,1
2,0,0
4,3,0
5,1,1
5,8,3
7,26,0
9,27,2
9,59,0
6,48,1
14,35,6
19,67,8
19,90,5
29,98,7
39,106,8
38,99,14
22,65,15
24,47,17
68,128,33
102,163,44
139,140,41
129,173,59
134,210,62
101,158,64
107,141,72
179,304,82
158,276,81
211,316,108
207,299,99
219,335,85
139,217,99
165,223,108
277,531,138
272,448,129
305,514,166
220,405,117
287,485,164
230,404,126
221,427,150
360,842,201
413,838,187
377,860,186
367,881,223
383,1019,221
287,726,247
275,667,243
511,1339,289
479,1297,274
476,1238,291
494,1319,278
550,1506,305
413,948,274
391,928,326
582,1671,328
622,1677,310
604,1672,366
640,1654,317
505,1271,357
449,1282,306
451,1157,313
723,2351,337
637,1909,349
734,2093,387
731,2175,356
773,2214,379
497,1387,327
484,1238,370
842,2672,414
889,2574,386
906,2834,410
895,2709,415
915,2991,407
588,1780,329
516,1444,335
1001,3451,419
909,3075,336
1065,3330,347
1014,3340,313
952,3308,276
601,1754,230
548,1541,238
1055,3824,257
1022,3441,202
1033,3440,163
1014,2915,146
969,2411,140
656,1228,101
539,592,66
991,1053,50
881,179,28
