EPOC,CASES_PER_DAY,DEATHS_PER_DAY
0,0,0
0,0,0
1,0,0
0,0,0
1,0,1
1,0,0
1,0,0
1,0,0
0,0,0
2,0,0
0,0,0
1,0,1
2,0,1
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
2,0,0
4,0,0
1,0,0
3,0,0
3,0,0
2,0,0
5,0,0
0,0,0
2,0,0
1,0,0
2,0,1
1,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
2,0,1
1,0,1
1,0,1
1,0,0
2,0,0
0,0,0
1,0,0
0,0,0
2,0,1
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,3,1
0,1,0
2,0,0
1,0,1
2,1,2
0,0,1
1,1,0
0,0,0
1,0,1
0,0,0
0,3,0
2,1,1
1,8,3
1,26,0
5,27,2
2,59,0
0,48,1
7,35,6
3,67,8
9,90,5
6,98,7
10,106,8
10,99,14
12,65,15
7,47,17
19,128,33
21,163,44
34,140,41
27,173,59
44,210,62
24,158,64
27,141,72
54,304,82
49,276,81
64,316,108
53,299,99
46,335,85
51,217,99
46,223,108
72,531,138
69,448,129
64,514,166
36,405,117
46,485,164
40,404,126
48,427,150
57,842,201
61,838,187
91,860,186
64,881,223
65,1019,221
65,726,247
55,667,243
74,1339,289
82,1297,274
74,1238,291
71,1319,278
81,1506,305
60,948,274
67,928,326
83,1671,328
90,1677,310
90,1672,366
88,1654,317
68,1271,357
62,1282,306
69,1157,313
83,2351,337
84,1909,349
103,2093,387
85,2175,356
99,2214,379
69,1387,327
60,1238,370
118,2672,414
102,2574,386
105,2834,410
111,2709,415
128,2991,407
78,1780,329
79,1444,335
132,3451,419
99,3075,336
158,3330,347
142,3340,313
121,3308,276
86,1754,230
65,1541,238
127,3824,257
125,3441,202
108,3440,163
127,2915,146
115,2411,140
94,1228,101
55,592,66
100,1053,50
96,179,28
