HIPERTENSION,CASES_PER_DAY,DEATHS_PER_DAY
0,0,0
1,0,0
3,0,0
2,0,0
6,0,1
4,0,0
6,0,0
4,0,0
8,0,0
3,0,0
0,0,0
3,0,1
2,0,1
8,0,0
5,0,0
5,0,0
2,0,0
8,0,0
7,0,0
10,0,0
8,0,0
7,0,0
5,0,0
7,0,0
2,0,0
4,0,0
4,0,0
5,0,0
1,0,0
6,0,0
7,0,0
2,0,1
2,0,0
2,0,0
10,0,0
4,0,0
4,0,0
6,0,0
3,0,0
3,0,0
9,0,1
5,0,1
4,0,1
7,0,0
3,0,0
2,0,0
2,0,0
3,0,0
6,0,1
3,0,0
3,0,0
1,0,0
1,0,0
1,0,0
5,0,0
3,0,0
4,0,0
4,3,1
1,1,0
4,0,0
2,0,1
9,1,2
13,0,1
9,1,0
3,0,0
3,0,1
3,0,0
5,3,0
7,1,1
19,8,3
9,26,0
24,27,2
28,59,0
9,48,1
18,35,6
27,67,8
49,90,5
52,98,7
55,106,8
50,99,14
49,65,15
37,47,17
121,128,33
162,163,44
189,140,41
172,173,59
246,210,62
126,158,64
148,141,72
279,304,82
239,276,81
285,316,108
279,299,99
263,335,85
215,217,99
206,223,108
365,531,138
376,448,129
430,514,166
278,405,117
370,485,164
302,404,126
270,427,150
497,842,201
557,838,187
495,860,186
474,881,223
531,1019,221
394,726,247
338,667,243
651,1339,289
566,1297,274
551,1238,291
629,1319,278
701,1506,305
493,948,274
436,928,326
741,1671,328
726,1677,310
784,1672,366
829,1654,317
597,1271,357
534,1282,306
526,1157,313
930,2351,337
840,1909,349
949,2093,387
956,2175,356
1012,2214,379
627,1387,327
607,1238,370
1185,2672,414
1156,2574,386
1168,2834,410
1174,2709,415
1234,2991,407
773,1780,329
573,1444,335
1264,3451,419
1229,3075,336
1332,3330,347
1314,3340,313
1297,3308,276
762,1754,230
648,1541,238
1418,3824,257
1372,3441,202
1471,3440,163
1294,2915,146
1294,2411,140
835,1228,101
671,592,66
1370,1053,50
1233,179,28
