OBESIDAD,CASES_PER_DAY,DEATHS_PER_DAY
0,0,0
1,0,0
4,0,0
1,0,0
1,0,1
3,0,0
1,0,0
0,0,0
10,0,0
2,0,0
2,0,0
4,0,1
3,0,1
8,0,0
2,0,0
5,0,0
3,0,0
6,0,0
3,0,0
3,0,0
8,0,0
4,0,0
5,0,0
2,0,0
2,0,0
5,0,0
3,0,0
6,0,0
2,0,0
8,0,0
10,0,0
0,0,1
1,0,0
2,0,0
4,0,0
5,0,0
1,0,0
1,0,0
1,0,0
2,0,0
5,0,1
8,0,1
6,0,1
4,0,0
2,0,0
1,0,0
2,0,0
4,0,0
6,0,1
4,0,0
1,0,0
1,0,0
1,0,0
1,0,0
5,0,0
5,0,0
1,0,0
6,3,1
4,1,0
3,0,0
0,0,1
9,1,2
9,0,1
6,1,0
5,0,0
6,0,1
5,0,0
0,3,0
6,1,1
10,8,3
13,26,0
14,27,2
21,59,0
9,48,1
10,35,6
21,67,8
33,90,5
41,98,7
62,106,8
69,99,14
37,65,15
32,47,17
96,128,33
161,163,44
181,140,41
175,173,59
207,210,62
107,158,64
110,141,72
242,304,82
218,276,81
264,316,108
278,299,99
233,335,85
155,217,99
149,223,108
316,531,138
324,448,129
364,514,166
233,405,117
282,485,164
213,404,126
208,427,150
487,842,201
519,838,187
465,860,186
479,881,223
493,1019,221
298,726,247
258,667,243
618,1339,289
556,1297,274
585,1238,291
628,1319,278
714,1506,305
412,948,274
395,928,326
759,1671,328
742,1677,310
826,1672,366
836,1654,317
518,1271,357
491,1282,306
452,1157,313
1012,2351,337
811,1909,349
1012,2093,387
979,2175,356
997,2214,379
578,1387,327
457,1238,370
1160,2672,414
1160,2574,386
1215,2834,410
1171,2709,415
1177,2991,407
697,1780,329
537,1444,335
1423,3451,419
1253,3075,336
1371,3330,347
1465,3340,313
1456,3308,276
698,1754,230
560,1541,238
1494,3824,257
1459,3441,202
1525,3440,163
1375,2915,146
1382,2411,140
856,1228,101
617,592,66
1512,1053,50
1431,179,28
