TABAQUISMO,CASES_PER_DAY,DEATHS_PER_DAY
0,0,0
1,0,0
1,0,0
1,0,0
1,0,1
2,0,0
1,0,0
1,0,0
4,0,0
2,0,0
0,0,0
2,0,1
3,0,1
5,0,0
1,0,0
3,0,0
3,0,0
2,0,0
0,0,0
1,0,0
5,0,0
3,0,0
5,0,0
6,0,0
1,0,0
2,0,0
3,0,0
4,0,0
3,0,0
3,0,0
3,0,0
1,0,1
0,0,0
3,0,0
5,0,0
2,0,0
6,0,0
2,0,0
1,0,0
1,0,0
3,0,1
4,0,1
4,0,1
2,0,0
4,0,0
0,0,0
2,0,0
3,0,0
1,0,1
2,0,0
0,0,0
2,0,0
2,0,0
1,0,0
3,0,0
2,0,0
3,0,0
5,3,1
2,1,0
1,0,0
3,0,1
8,1,2
8,0,1
6,1,0
7,0,0
5,0,1
2,0,0
3,3,0
9,1,1
12,8,3
18,26,0
20,27,2
29,59,0
14,48,1
15,35,6
22,67,8
38,90,5
54,98,7
78,106,8
52,99,14
40,65,15
21,47,17
78,128,33
114,163,44
125,140,41
121,173,59
153,210,62
76,158,64
85,141,72
156,304,82
160,276,81
155,316,108
180,299,99
187,335,85
106,217,99
96,223,108
198,531,138
223,448,129
234,514,166
166,405,117
222,485,164
145,404,126
123,427,150
271,842,201
276,838,187
282,860,186
265,881,223
301,1019,221
167,726,247
146,667,243
336,1339,289
289,1297,274
332,1238,291
316,1319,278
345,1506,305
196,948,274
200,928,326
402,1671,328
418,1677,310
448,1672,366
424,1654,317
254,1271,357
244,1282,306
240,1157,313
517,2351,337
432,1909,349
547,2093,387
519,2175,356
517,2214,379
318,1387,327
235,1238,370
611,2672,414
638,2574,386
606,2834,410
584,2709,415
638,2991,407
320,1780,329
274,1444,335
649,3451,419
615,3075,336
663,3330,347
671,3340,313
750,3308,276
377,1754,230
266,1541,238
750,3824,257
746,3441,202
792,3440,163
710,2915,146
770,2411,140
472,1228,101
298,592,66
790,1053,50
722,179,28
